אבו ג'ווייעד (שבט),אבו ג'ווייעד (שבט)  
אלארשאד,אום אל-פחם          
אלאשערי,אום אל-פחם          
אלבאטן,אום אל-פחם          
אלבהגה,אום אל-פחם          
אלבוסתאן,אום אל-פחם          
אלבח'ארי,אום אל-פחם          
אלבחרה,אום אל-פחם          
אלבחתורי,אום אל-פחם          
אלביאדר,אום אל-פחם          
אלביאר,אום אל-פחם          
אלבידר,אום אל-פחם          
אלביר,אום אל-פחם          
אלבירוני,אום אל-פחם          
אלבלוט,אום אל-פחם          
אלבנאא,אום אל-פחם          
אלברכאת,אום אל-פחם          
אלג'בארין,אום אל-פחם          
אלג'זאר,אום אל-פחם          
אלג'נאן,אום אל-פחם          
אלגדוע אלספלי,אום אל-פחם          
אלגדוע אלעלוי,אום אל-פחם          
אלד'הר,אום אל-פחם          
אלד'הרה,אום אל-פחם          
אלהג'רה,אום אל-פחם          
אלהדאיה,אום אל-פחם          
אלהודא,אום אל-פחם          
אלואדי,אום אל-פחם          
אלוורוד,אום אל-פחם          
אלוחדה,אום אל-פחם          
אלופאא,אום אל-פחם          
אלזהראא,אום אל-פחם          
אלזיתון,אום אל-פחם          
אלזנבק,אום אל-פחם          
אלח'וארזמי,אום אל-פחם          
אלח'יאם,אום אל-פחם          
אלח'נסאא,אום אל-פחם          
אלח'רוב,אום אל-פחם          
אלחאמדון,אום אל-פחם          
אלחוריה,אום אל-פחם          
אלחכמה,אום אל-פחם          
אלטברי,אום אל-פחם          
אלטיבאת,אום אל-פחם          
אליאסמין,אום אל-פחם          
אלירמוק,אום אל-פחם          
אלכולייה,אום אל-פחם          
אלכות'ר,אום אל-פחם          
אלכנדק,אום אל-פחם          
אלכראמה,אום אל-פחם          
אללוז,אום אל-פחם          
אללימון,אום אל-פחם          
אלמאמון,אום אל-פחם          
אלמג'ד,אום אל-פחם          
אלמדינה,אום אל-פחם          
אלמונתזה,אום אל-פחם          
אלמועלקה,אום אל-פחם          
אלמותנבי,אום אל-פחם          
אלמחאג'נה,אום אל-פחם          
אלמחאמיד,אום אל-פחם          
אלמחג'ר,אום אל-פחם          
אלמלסאא,אום אל-פחם          
אלמנאר,אום אל-פחם          
אלמנארה,אום אל-פחם          
אלמערפה,אום אל-פחם          
אלמרווה,אום אל-פחם          
אלמרמאלה,אום אל-פחם          
אלמרתפעה,אום אל-פחם          
אלמשאעל,אום אל-פחם          
אלנוזהה,אום אל-פחם          
אלנור,אום אל-פחם          
אלנח'יל,אום אל-פחם          
אלנסאיי,אום אל-פחם          
אלנענאע,אום אל-פחם          
